discursive 离题的，东拉西扯的，不着边际的
disdain 轻视，鄙视，蔑视
disingenuous 不诚恳的，不坦率的，狡猾的
diverge 改变方向
divination 预言
doctrinaire 教条主义的
dogmatic 武断的，固执己见的
dubious 可疑的，靠不住的
dyspeptic 脾气坏的
egalitarian 主张人人平等的，平等主义的
elaborate 复杂的
elastic 有弹性的，有弹力的
empirical 以观察或实验为依据的
enamored 迷恋的，倾心的
encyclopedia 百科全书般的，知识丰富的
endemic 地方性的
engender 引起
ennui 倦怠，厌倦
enthrall 迷住，吸引住
entice 诱使，诱惑，怂恿
ephemeral 短暂的，瞬间的
epitomize 摘要
erratic 无计划的
esoteric 深奥的，难懂的，常人难以理解的
exculpate 证明无罪，使无罪
expansive 广袤的，辽阔的，全面的
expedite 使加速完成，促进
extemporize 即席演说，即兴表演
facilitate 促进，使便利
fallacious （思想、论据、道理）谬误的，错误的
fanciful 幻想中的，不真实的
fastidious 难以取悦的，一丝不苟的，注重细节的
favoritism 偏爱，得宠，偏袒
faze 打扰，使尴尬
feign 装作，假装，冒充
figurative 比喻的，借喻的
fledgling 新手
fleeting 短暂的，飞逝的
florid 过分花哨的，过分修饰的
forestall 预先阻止，抢在...之前行动
fraught 充满...的，...重重的
friable 易碎的，脆弱的
fulminate 强烈谴责，怒斥
fungible 可互换的，代替的
gadfly 讨人厌者，有意搅扰他人者，尤指故意挑战...
generic 一般的，普通的，通用的
grandiloquent 一本正经的，卖弄辞藻的，夸张的...
gregarious 爱交际的，合群的
hackneyed 语句、画面等陈腐的，陈词滥调的
hamper 妨碍、阻碍、牵制、束缚
