adjuration 恳请请愿
authoritarian 专制的；独裁的，蛮横的
avaricious 贪财的；贪婪的；贪得无厌的
avatar 化身
bountiful 大量的；丰富的
bypass 避开，绕开
capricious 反复无常的；善变的
cerebral 运用智力的；理智的；冷静的
codify 分类；整理
colloquial 口语的；会话的，日常的
commence 开始
conciliatory 愿意和解的；调停的；安抚的
contrive 设计发明
culmination 终点；高潮顶点
customary 被广泛接受的
daunting 使人畏惧的；令人胆的：让人气的
decimate 大批杀死严重削弱，大幅缩减
decisive 决定性的；关键的：明确的
detached 分离的，分开的
disconcerting 令人不安的；令人困惑的：令人尴尬的
dismissive 拒绝考虑的：对轻视的对视的
disreputable 名声不好的；不名誉的；不光彩的
divisive 造成不和的；引起分歧的；制造争端的
elusive 难以得到的难以描述的；难以实现的
embellish 修饰；润色
emblematic 象征性的；代表性的
enigmatic 神秘的；谜一般的；费解的
equivocal 模棱两可的，不清楚的
exactitude 精确；准确：严谨；严格
exemplar 典范；榜样
exposition 阐述；解释：说明
extirpate 消灭灭绝
feasible 可行的；行得通的；做得到的
fixate 注视，全神贯注
fluid 流动的
foretell 预言；预知预测
fortuitous 幸运的
hazardous 有害的
ignorant 无知的；愚昧的
imitate 模仿；仿效；模拟
impassioned 充满情的；激昂的；激烈的
implicate 使牵连其中涉及
incompatible 不协调的；不一致的
indiscernible 难辨认的觉察不出的
inflammatory 使人激的；动性的
inhibit 抑制；禁止
innate 天生的；天然的；固有的
inscrutable 神秘莫测的：难以捉摸的：难以理解的
interchangeable 可交换的；可互换的；可交替的
keen 聪明的，敏锐的
