candor 坦白，直率
capitulate 不再反抗
captivate 迷住，着迷
cavalier 傲慢的，轻蔑的
cessation 停止，终止
chameleon 善变的人
chicanery 欺骗诈骗
chivalrous 骑士风度的
circuitous 不直接的
circumscribe 约束，制约，限制
circumspect 小心的，谨慎的，谨言慎行的
circumvent 躲避
clandestine 秘密的，神秘的
coalesce 联合，合并
coarse 质地粗糙，粗织的
colossal 巨大的，庞大的
compelling 令人信服的，有说服力的
conducive 有助于，有益于
confound 使困惑
conjecture 推测，猜测，揣测
consonant 一致的，相符的
conspicuous 显眼的，引人注目的
contentious 有争议的，引起争论的
conundrum 难题，复杂难解的题
convulsion 国家体系组织动荡
cosset 宠爱，娇惯，溺爱
countenance 支持，赞同，同意
cowardice 惧怕，胆小，懦弱
cower 因恐惧而蜷缩
coy 故作羞涩的
cunning 巧妙的，狡猾的，粗略的
cursory 仓促的，匆匆的
dearth 缺乏，不足
defray 支付
defy 违抗，反抗，不服从
deleterious 有害的
deliberate 从容的，不慌不忙的，深思熟虑的
delineate 刻画，描述，阐明
demur 表示反对，提出异议
denigrate 贬低，诋毁，侮辱
deprecate 批评反对
deride 嘲笑，嘲弄，污蔑
diffuse 冗长的，啰嗦的
dilettante 半吊子
diligent 勤奋的，勤勉的
diminish 贬低轻视
disavow 否认，不承认，拒绝承担责任
discredit 使不可信，证实是假的
discrete 分离的，互不连接的，不相关的
discretion 谨慎，慎重
