haphazard 无计划的，杂乱无章的，任意的
harbinger 预兆
hasty 鲁莽的，冲动的，草率的
heartfelt 诚挚的，衷心的，真心实意的
hedge 躲闪，回避
hedonism 享乐主义
hideous 极难看的，极丑的
hortative 劝告的
hyperbole 夸张法
illuminate 照亮，照明，照射
illusory 幻觉的，虚假的，不切实际的
illustrious 著名的，卓越的，杰出的
impede 妨碍，阻碍，阻止
imperative 必要的
imperturbable 不易激动的，沉着的，冷静的
impetuous 冲动的
impugn 指责非难，质疑
impunity 不受惩罚的
inadvertent 偶然发生的
incendiary 煽动者
incite 鼓动，煽动
incontrovertible 无可辩驳的
indelible 难忘的，不可磨灭的
indemnity 赔偿
indispensable 必不可少的，不可或缺的
inept 不活跃的
inexorable 不可阻挡的，不容变更的
ingenious 天真纯朴的
inherent 内在的，固有的，生来就有的
inimitable 不能模仿的，无与伦比的
initiate 开始，创始，发起
innocuous 无害的，无冒犯之意的
insouciant 漠不关心的，漫不经心的
insular 孤立的，保守的，思想狭隘的
intangible 无形的，不易琢磨的，难以确定的
integral 基本的，构成整体所必须的
intermittent 间歇的，断断续续的
intransigent 不妥协的，不让步的
intrigue 阴谋，诡计
intrinsic 内在的，本身的，固有的
invoke 产生
itinerant 流动的
jettison 丢弃，遗弃
judicious 明智的，有远见的
lackluster 暗淡无光
laconic 言简意赅的
largesse 慷慨赠与，善举
