laudatory 文章或言谈表示赞美的，颂扬性的
lethargic 慵懒的，没精打采的，懒洋洋的
linger 逗留
loath 不乐意的，不情愿的
lucid 有光亮的
lucrative 获利多的，赚大钱的
luminous 发光的，发亮的
malleable 有延展性的，可塑的
manifest 明显的，显而易见的
maudlin 伤感的，感情脆弱的
maverick 特立独行的
mawkish 事情多愁善感的
meager 贫乏的，少的
menace 使处于危险
mendacious 撒谎的，虚假的
mercenary 故意兵，唯利是图的
meretricious 华而不实的
metamorphose 使完全变形，彻底改变
meticulous 小心谨慎的，一丝不苟的
mimic 模仿，效仿
minuscule 极小的 微小的
minutiae 琐碎枝节，细枝末节
mire 困境
misapprehension 误会，误解
misconstrue 曲解，误解
mitigate 减轻缓和，缓解
monopolize 垄断，独占
monotonous 单调乏味的，毫无变化的
moribund 垂死的，即将结束的
mundane 平凡的
myriad 无数的，大量的，各种各样的
nadir 最低点，最不幸的时刻
narcissistic 自我陶醉的，自我欣赏的
nascent 新兴的，新生的
nebulous 模糊的
neutralize 破坏，使无效
nonchalant 无动于衷，漠不关心
nostalgia 怀念，念旧
nourish 给。。。提供营养，滋养
nugatory 琐碎的，无价值的，不重要的
obfuscate 故意地混淆，使混乱，使困惑
obstreperous 吵闹的，喧闹的
obstruct 妨碍，制造困难
obviate 消除，排除，使成为不必要
onerous 费力的，困难的
oscillate 振动，摇晃
overbearing 傲慢的，专横的
palliate 缓和，减轻
palpable 可感知的，易察觉的，明显的
paltry 无价值的，微不足道的

