abash 尴尬的，窘迫的，羞愧的
abdicate 正式放弃（权力，责任）
abet 教唆，怂恿
abstruse 故作深奥，难解的
accede 答应，同意
acclaim 称赞，赞扬
accolade 赞扬，同意
acerbic 幽默辛辣的，尖刻的
acquiesce 同意，默认，默许，顺从
acrimonious 言辞争吵激烈的
acumen 敏锐，聪明
adamant 坚决的，坚定不移的
admonish 责备，告诫，警告
affirm 断言，申明，坚持声称
aggrandize 提高某人的地位价值
airtight 不透气的，气密的，密封的
ambivalent 摇摆不定的，犹豫不决的
amenable 顺从的，服从的
amorphous 无固定形状或结构，不规则的
anachronistic 落伍的，过时的
anathema 十分讨厌的人或事物
ancillary 辅助的，补助的，补充的
animus 敌意，仇视，憎恶
annex 添加，合并
anomalous 反常的，异常的，例外的
anthropogenic 人类的，人为的
apposite 贴切的，合适的，适当的
apprehensive 担心的，忧虑的，恐惧的
appurtenance 附件，附属物
apt 话语描述合适的，恰当的，贴切的
arbitrary 专横的，武断的
arcane 难以理解的
archaic 古老的，过时的，陈旧的
archetype 代表，典范
arduous 艰巨的，费力的
ascetic 苦行的，禁欲的
astute 精明的，敏锐的
atrocious 让人极为不满的
attenuate 使减轻，使减弱，使削弱
auspicious 吉祥的，吉利的
austere 简朴的，朴素的
backfire 事与愿违，适得其反
banal 非原创的，陈腐的
belie 掩饰，遮掩
blithe 愉快的
boorish 粗野无礼的，无教养的
broach 提出
buoyant 心情愉快的，生机勃勃的
burgeon 迅速生长，快速发展
camouflage 伪装，隐藏
