laggard 落后者技不如人者
lambaste 指公开地猛烈批评痛
long -winded 冗长的；话多的
magnify 放大；扩大
marginalize 使边缘化使显得不重要；排斥
melancholy 使人忧郁的；令人忧伤的
misnomer 用词不当；使用不当的名称；误称
negligible 少的，可忽略的
nimble 思维敏锐的；聪明的；机智的
nullify 使无效；使无用：抵消
ominous 不样的；恶兆的；不吉利的
omnipresent 无所不在的；普遍存在的
orientation 某人在信仰或偏好上基本的态度，取向
overshadow 使变淡
overstate 夸大：对言过其实
peculiar 奇怪的；古怪的；不寻常的
pedantic 过分拘泥于细节或传统的；学充气的；腐的
perennial 永恒的，持续的
perishable 易腐烂的，易变质的
perpetuate 便永存人记住不忘
polemical 争辩的；辩论的
predicament 困境；艰难的处境：尴尬的境地
prominent 显著的；突出的引人注目的
prone 易于的；很可能的
propound 提出观点供考虑
query 质疑，对表示疑
rambling 冗长的，杂乱无章的
rattle 使紧张：使不安
rebuke 指责；非难；谴责
rigorous 严格的
scatter 分散；使散布在各处；使散开
scintillating 生动活泼的，妙趣横生的
secretive 遮遮掩掩的，守口如瓶的
serendipitous 偶然发生的；有意外收获的
shelve 搁置，停止执行，暂不进行(计划、项目)
solitary 人孤单的，单独的
streamline 使效率更高；精简
sycophantic 阿谀奉承的；谄媚的；拍马屁的
tactful 机智的；圆滑的；老练的
tangential 关系不大的；不直接相干的
tautology 同义反复；赘述
temper 使缓和；使温和
unalloyed 感情纯粹的，不掺杂的
undiscriminating 不加区别的；一视同仁的
unfettered 自由的；不受拘束的
utilitarian 有效用的；实用的
verisimilitude 真实性；通真
virtuosity 精湛技艺
whimsical 反复无常的
yield 屈服；屈从；让步
