panacea 灵丹妙药：万能之计
panegyric 颂词；颂文
paradigm 典范；范例
paradox 自相矛盾；有矛盾特点的情况
paragon 杰出典范；尽善尽美的人
parochial 人思想狭的，只考虑自身的
partisan 对人或事业盲目支持的，偏祖的，有倾向性的
paucity 少量：不足；缺乏
pecuniary 金钱的；金钱方面的
pedant 拘泥于细节或传统的人；尤指学究，书呆子，老夫子
peremptory 爱发号施令的
perfunctory 行的；潦草的；马马虎虎的
perilous 危险的；艰险的
peripatetic 不固定的；经常出差的；流动的
permeable 可渗透的；可渗入的
pernicious 有害的；恶性的
persevere 坚持不懈；锲而不舍
petulant 大发脾气的：任性的
phlegmatic 临危不惧的；冷静的；沉着的
pinpoint 定点的；定位精确的；非常精确的
pivotal 中枢的；关键的
platitude 陈词溢调；套话
plausible 解释或说法似乎真实的，貌似合理的
plebeian 平肩的；市井的；粗俗的
pliable 易弯的；柔韧的
polarize 使两极化使分化使对立
polemic 书面或口头的争辩，辩论，论战
posit 假定；假设
pragmatic 讲求实效的；实用的；务实的
precarious 不稳定的，危险的
precedent 前例：先例
precipitate 行动或决定仓猝的，贸然的，突然的
preclude 排除杜绝；防止
precocious 早熟的；智慧超前的
predilection 爱好：偏爱偏好
prepossessing 给人好感的
preposterous 极其荒谬的思蠢至极的
presage 预示；预兆；警示
prescience 预知，先见
primitive 未开化的
pristine 原始状态的；未受损的
privation 缺乏，穷困
probity 正直耿直；诚实
proclaim 宣布；声明：公布
proclivity 倾向，偏好，嗜好
prodigious 巨大的：庞大的
profusion 大量；丰富
proliferate 激增；剧增
propagate 宣传；传播：使普及
prosaic 枯燥的；乏味的；平淡无奇的
